"similarity","q_sid","q_paper","q_source","q_decl_name","q_slogan","c_sid","c_paper","c_source","c_ref","c_lean_annotation","c_slogan"
"0.9740514814865746","930bd448-678b-4fd5-abe3-9d24f80b97d2","pfr","Lean Repo","ProbabilityTheory.measureMutualInfo_nonneg","The mutual information between two random variables is always greater than or equal to zero. This means that the amount of shared information between the variables cannot be negative, reflecting that knowing one variable never increases uncertainty about the other.","2fcd5dc3-f048-482a-97ce-9899a4c9b6dc","teorth/pfr","Lean Community","2.17","ProbabilityTheory.mutualInfo_nonneg","The mutual information between two random variables X and Y is always greater than or equal to zero. This means that knowing one variable never reduces the expected information about the other. Mutual information being nonnegative reflects that it measures shared information, which cannot be negative."
"0.9625667372571544","146750fc-03d2-4ba7-ad63-1c9e973b0e11","misc-yd","Lean Repo","Metric.epackingNum","The epsilon-packing number of a set s is the largest number of points you can pick from s such that every pair of points is at least distance epsilon apart; if no such maximum exists, it is infinite. It counts how many well-separated points can fit inside the set.","46e0d956-d901-46b4-85c6-80d682f53141","2310.19103","arXiv","9.8","","The epsilon packing number of a set S is the largest number of points you can choose from S so that every pair of points is more than epsilon distance apart."
"0.9536464405436381","c049ff03-f365-4ddf-8dc7-1214a2512695","brownian-motion","Lean Repo","MeasureTheory.capacity_iUnion","For an increasing sequence of sets, the capacity of their union equals the supremum of the capacities of the individual sets. This means the capacity function preserves limits of increasing sequences. The result holds for any capacity defined on a type with a suitable collection of sets.","90fe5a0c-0367-479a-a697-028c48180f07","1104.0792","arXiv","5.3","","The capacity of the union of an increasing sequence of sets equals the limit of the capacities of the individual sets."
"0.9386812592066996","dabac13c-f7d9-4f13-9667-643659f6d852","PrimeNumberTheoremAnd","Lean Repo","RS_prime.theorem_c","For any real number x greater than 1, the sum of the reciprocals of all prime numbers less than or equal to the floor of x is greater than the natural logarithm of the natural logarithm of x.","42331a2a-cff4-4b65-9b51-5fb5feb90e75","1207.3480","arXiv","3.9","","For any x greater than 1, the sum of the reciprocals of all prime numbers up to x is at least the natural log of the natural log of x plus approximately 0.26149, minus a small correction term involving powers of the logarithm of x."
"0.9293047902181294","3e39840a-cde4-4342-a949-760ef1b082c8","pfr","Lean Repo","ProbabilityTheory.IdentDistrib.rdist_congr_left","If two random variables X and Y have copies X' and Y that follow the same distributions, then the Ruzsa distance between X and Y is the same as the Ruzsa distance between X' and Y.","2535e280-a95d-423b-bffd-c56de21df6e3","teorth/pfr","Lean Community","3.10","ProbabilityTheory.IdentDistrib.rdist_congr","If X' and Y' are copies of X and Y, then the Ruzsa distance between X' and Y' is the same as the Ruzsa distance between X and Y."
"0.9124542798257977","073898a2-3583-4eea-a67c-112c7afadc7e","cslib","Lean Repo","Cslib.ωLanguage.isRegular_iff","An omega language is regular if and only if there exists a finite state space and a nondeterministic Buchi automaton over that state space which accepts exactly the language.","3e6fe7f9-41d8-4ec5-bd94-dafa3b0cdfd5","1605.00186","arXiv","","","A language is called omega-regular if a non-deterministic Buchi automaton can recognize it."
"0.9021149762860028","a0294514-9ed0-43ac-a097-bd68fd0b20af","PrimeNumberTheoremAnd","Lean Repo","log_ge","For any real number t that is greater than or equal to zero, the natural logarithm of (1 + t) is at least t minus half of t squared. This gives a lower bound for the logarithm function near zero using a simple quadratic expression.","84d500d3-d1d8-461b-9cc7-2327eda1ddbb","2505.23152","arXiv","7.11","","For any non-negative number x, the natural logarithm of (1 plus x) is always greater than or equal to x minus half of x squared. This inequality provides a lower bound for the logarithm function when x is zero or positive. It is useful in approximations and proofs involving logarithmic expressions."
"0.9007226019885669","2850ac28-84d5-4cc1-9cb7-3e38a543bdb2","sphere-packing-math-inc","Lean Repo","SpherePacking.Dim24.Uniqueness.BS81.Thm15.Lemma21.CodingTheory.minDist_le_weight_of_nonzero_mem","In a linear binary code, the minimum distance between any two distinct codewords is at most the number of nonzero bits in any nonzero codeword. This means the lightest nonzero codeword sets an upper bound on the code's minimum distance.","a2712944-3304-4806-8650-6a96141160a4","1907.12754","arXiv","1.12","","For a linear code, the minimum distance between any two codewords equals the smallest weight among all non-zero codewords."
"0.8996129634743842","57d48e20-4683-461e-bc0f-57231c9e6280","combinatorial-games","Lean Repo","IGame.Impartial.of_mem_moves","If a game is impartial, then every move available to either player leads to another impartial game. This means that after any move, the resulting position still has the same symmetry between the two players. The property of being impartial is preserved through all possible moves.","7761a842-0235-45be-a0fe-988069530a3c","math/0410026","arXiv","7.1","","An impartial game is a type of game where both players have the same moves available at every turn, and every possible move leads to another impartial game."
"0.8967822508200882","3be32e9c-05a9-481a-876f-d578b4eb916f","misc-yd","Lean Repo","Metric.ecoveringNum","The ecoveringNum is the smallest number of points needed to form a set within s such that every point in s is within distance ε of at least one of these points; if no such finite set exists, the value is infinity. It measures how many balls of radius ε are required to cover the set s, using centers that must lie in s itself.","5928ed68-60a2-41c1-9581-290be74699e2","2012.01602","arXiv","3.1","","The covering number is the smallest number of points needed so that every point in a given set is within a distance epsilon of at least one of these points. It measures how many small balls of radius epsilon are required to cover the entire set."
"0.8910349139331748","5054069e-b818-41a4-8d80-26053dfab684","Sphere-Packing-Lean","Lean Repo","serre_D_apply","The Serre derivative of weight k applied to a function F at a point z in the upper half-plane equals the derivative of F at z minus k times one twelfth times the value of the Eisenstein series E2 at z multiplied by F at z. This defines a modified derivative operator used in the theory of modular forms. The formula adjusts the ordinary derivative by a term involving the Eisenstein series E2 and the weight k.","f3230b52-7993-472a-b9e7-8c869da166f7","thefundamentaltheor3m/Sphere-Packing-Lean","Lean Community","6.45","serre_D","The weight k Serre derivative of a modular form F is given by the derivative of F minus (k divided by 12) times the product of the Eisenstein series E2 and F."
"0.8867820425892254","90113778-cf90-4a8c-aedf-7939f180dfe0","gibbs-measure","Lean Repo","ProbabilityTheory.Kernel.isCondExp_iff","A kernel π is the conditional expectation of a measure μ with respect to a sub-sigma-algebra 𝓑 if and only if, for every measurable set A, the conditional expectation of the indicator function of A given 𝓑 equals almost everywhere the real-valued function that maps each point a to the measure of A under the kernel π evaluated at a.","554a33b1-a9dc-4a6a-83b8-f33a36232063","YaelDillies/gibbs-measure","Lean Community","1.10","ProbabilityTheory.Kernel.condExp_ae_eq_integral_kernel","If a kernel pi is a conditional expectation kernel for a measure mu, then the conditional expectation of any bounded measurable function f given a sigma-algebra B equals the integral of f with respect to pi, and this holds mu-almost everywhere."
"0.8865196045367296","ddc08d8a-1f87-49fb-8357-2ef74560a20f","HarderNarasimhan","Lean Repo","OrderTheory.instCompleteLatticeDedekindMacNeilleCompletion","The Dedekind-MacNeille completion of any partially ordered type forms a complete lattice, meaning that every collection of elements in this completion has both a least upper bound and a greatest lower bound. This structure is built from the closed subsets of the original type under the Dedekind-MacNeille closure operator. The complete lattice instance is derived from the general fact that the fixed points of any closure operator on sets form a complete lattice.","b26708ed-96df-483d-ac28-6f9449b171cf","1909.01236","arXiv","4.22","","The Dedekind-MacNeille completion of a partially ordered set P is the collection of all subsets A of P such that the lower bound of the upper bound of A equals A itself, and this collection forms a complete lattice when ordered by subset inclusion."
"0.8861324664567112","955e291d-14ad-4261-b008-4ff28a2ac3d7","PrimeNumberTheoremAnd","Lean Repo","RS_prime.meisselMertensConstant_identity","The sum of the reciprocals of all prime numbers up to x is equal to the natural log of the natural log of x, plus the Meissel-Mertens constant, plus a correction term involving the difference between Chebyshev's theta function and x, divided by x times the log of x, plus an integral from x to infinity that adjusts for the behavior of that same difference weighted by the derivative of 1/(s log s). This identity holds for all real numbers x at least 2. It gives an exact expression for the sum of reciprocal primes using logarithmic terms, a well-known constant, and analytic corrections based on …","015fb06c-64a4-472e-a2ce-7ae58520a939","2405.06139","arXiv","2.6","","The sum of the reciprocals of all prime numbers up to x is approximately log(log(x)) plus the Meissel-Mertens constant, and the difference between this sum and that expression is bounded by a small error term that decreases as x increases."
"0.8853832835416654","f1203a75-dcaa-4edb-bb43-03b5954265a8","toric","Lean Repo","AlgebraicGeometry.Scheme.algΓAlgSpecAdjunction","The declaration defines an adjunction between two functors: one that turns a commutative R-algebra into a geometric object (a scheme over Spec R), and another that takes such a geometric object and returns its ring of functions. This adjunction expresses a fundamental correspondence between algebra and geometry, where maps between algebras correspond naturally to maps between schemes. Specifically, it states that algebraic maps from an R-algebra A to the ring of global sections of a scheme X over Spec R correspond one-to-one with morphisms of schemes from X to the space Spec A over Spec R.","75d592f4-2188-4436-b1c3-ed32cf9df7ea","2305.16281","arXiv","2.0.2.5","","For any ring R, there is a pair of functors between the category of schemes over the spectrum of R and the opposite category of commutative R-algebras that form an adjunction; the functor from schemes to algebras assigns global sections relative to R, and the functor from algebras to schemes assigns spectra relative to R; this adjunction is built using the standard adjunction between spaces and rings via Spec and global sections, pulled back appropriately."
"0.8852370044911898","1af41ce0-01b5-4041-8881-dc0585ceed3b","PrimeNumberTheoremAnd","Lean Repo","Dusart.corollary_5_3_c","For any real number x that is at least 468049, the number of primes less than or equal to x is at least x divided by (the natural logarithm of x minus 1 minus the reciprocal of the natural logarithm of x).","291e4c64-d395-4645-9307-8628e28e4941","2203.05917","arXiv","5.2","","For every number x that is at least 467,497, the count of prime numbers up to x is greater than x divided by a specific expression involving the logarithm of x and several correction terms."
"0.8825768572465691","a50d0c2e-5774-4023-a5dd-48fd8ac58766","carleson","Lean Repo","MeasureTheory.lt_rearrangement_iff","For a measurable function f and a measure μ, the value y is less than the decreasing rearrangement of f at t if and only if t is less than the measure of the set where the norm of f is at least y. This equivalence links the distribution function and the rearrangement function through their threshold behavior. Both functions map into the extended nonnegative real numbers, including infinity.","0d9678c0-d7d6-418d-a1f5-19679dca9f58","2209.14175","arXiv","11.4","","The distribution function of a measurable function f gives the measure of the set where the absolute value of f exceeds a given threshold. The decreasing rearrangement of f is the inverse-like function that, for each value t, returns the smallest threshold such that the distribution function is at most t."
"0.8780679577289875","c1ed9f7b-fa58-40eb-8433-318684dc273f","brownian-motion","Lean Repo","measurable_limUnder_of_exists_tendsto","If a family of measurable functions from a measurable space X to a pseudo-metrizable Borel space E converges pointwise along a countably generated filter, then the pointwise limit function is also measurable. This means that under these conditions, taking limits preserves measurability. The existence of a limit for each input is assumed, and the resulting limit function respects the measurable structure.","88117a8f-09a5-4b50-b060-5f20d6a734c6","2204.10091","arXiv","2.1","","If a sequence of measurable functions from a measurable space into a metric space converges point by point to a limit function, then the limit function is also measurable."
"0.8765489004184381","182756f0-281d-4733-bcaf-2b9a1ac6d447","pfr","Lean Repo","ProbabilityTheory.Kernel.iIndepFun.finsets_comp","If a family of random variables is mutually independent, and you group their indices into pairwise disjoint finite sets, then applying a measurable function to each group results in a new family of independent random variables.","f5d39a8b-75d9-4d7b-a9a5-b217534558f7","2411.06517","arXiv","4","","If you have independent random variables divided into separate groups, and you apply a measurable function to each group independently, then the resulting random variables are still independent."
"0.8750647642467602","0fedcbe2-c84e-4ecc-8eac-34a66fa0d7b0","PrimeNumberTheoremAnd","Lean Repo","ZetaNear1BndExact","There exists a positive constant c such that for all real numbers sigma between 1 and 2, the absolute value of the Riemann zeta function at sigma is less than or equal to c divided by (sigma minus 1).","24f71bd2-c95d-4de7-bc83-1cdb7d98dc2d","1809.02829","arXiv","3.4","","For every real number sigma greater than one half, the absolute difference between the Riemann zeta function at s and s divided by (s minus one) is bounded above by a constant multiple of the absolute value of s, where the constant depends on sigma and involves the logarithm of 2 pi, Euler's constant, and one, all divided by the square root of (2 sigma minus one)."
"0.874792714363708","86ff7b5c-8d9d-426d-b988-428dac5548c8","PrimeNumberTheoremAnd","Lean Repo","LeanCert.Engine.mem_logIntervalRefined","If a and b are positive rational numbers with a less than or equal to b, then the natural logarithm of any number in the interval [a, b] lies within the interval [log(a), log(b)], where log is the real logarithm function and the resulting interval is represented using rational bounds. This ensures a certified enclosure of the logarithm's values over the input range. The result is used to compute rigorous rational approximations of logarithms in interval arithmetic.","a2e3eb47-d7ac-4872-9a52-398f723d7271","0708.3721","arXiv","8","","For every positive real number x and natural number n, the natural logarithm of x is bounded above and below by two rational interval expressions, with equality only when x equals 1. These bounds are constructed using properties of logarithms and interval arithmetic to ensure rigorous numerical computations. The method supports automated and formally verified calculations of real functions within a theorem prover."
"0.8724547814197563","ae473398-8e8f-4d64-89b8-29057acaf7e6","pfr","Lean Repo","ProbabilityTheory.entropy_inv","If a random variable takes values in a countable group, then the entropy of the random variable is the same as the entropy of its inverse. This means that transforming each outcome of the variable by taking its group inverse does not change the amount of uncertainty. The result holds when the variable is measurable and the group operations are compatible with the measurable structure.","49bb084d-90a4-4b0a-b74f-cd5f0b43fbb3","teorth/pfr","Lean Community","3.1","ProbabilityTheory.entropy_neg","The entropy of a random variable that takes values in a group is the same as the entropy of its negation. This means flipping the sign of the variable does not change its uncertainty or information content."
"0.8693646162622171","92e392d2-5ce3-487f-af5e-04cdbf3ccdec","cslib","Lean Repo","Cslib.LTS.HomTraceEq","Homogeneous trace equivalence checks whether two states in the same labeled transition system have identical sets of possible execution traces. It is a special case of trace equivalence where both states belong to one and the same system. Two states are considered equivalent if they produce the same sequences of labels through their transitions.","6afda7c9-7b88-4520-84c3-e65dca88932f","1502.02910","arXiv","34","","Two states in a labeled transition system are trace equivalent if they can perform exactly the same sequences of actions, meaning the set of all possible sequences of labels leading to any state from each of them is identical."
"0.8685653322774913","1ecd9734-542c-4f01-bf65-ff7aa493d5e5","combinatorial-games","Lean Repo","LGame.Stopper","A game is called a stopper if both players eventually run out of moves no matter how they play. This means that even in loopy games, where cycles are allowed, play cannot continue forever. It's a way to ensure that every game ends in finite time.","211ee8fe-4b11-42ca-a42f-bb1961231ae1","2601.10574","arXiv","1.4","","A stopper is a game that must end after a finite number of moves when players take turns. An ender is a game that cannot go on forever no matter how the moves are ordered, even if players do not alternate turns."
"0.867377387507314","be542427-0792-48c2-861a-e182ff675232","FLT","Lean Repo","instIsCentralTensorProduct_fLT_1","If k is a field, A is a field containing k, and B is a ring containing k such that k is central in B, then the tensor product of B and A over k has a natural algebra structure where A is central in this tensor product. This means that elements of A commute with all elements in the tensor product when multiplied. The result ensures that the algebraic structure of the tensor product respects the centrality of A.","9d5945ed-6bac-4404-b049-50de90fd3f57","Whysoserioushah/BrauerGroup_new","Lean Community","1.1.9","IsCentralSimple.TensorProduct.isCentral","If A and B are central algebras over a field K, then their tensor product over K is also a central algebra over K."
"0.866094544133724","1ccc937b-6b70-4095-afc6-3f9258c3f7df","physlib","Lean Repo","FieldSpecification.WickAlgebra.static_wick_theorem","Any list of field operators can be expressed as a sum over all possible ways of contracting pairs of operators, where each term in the sum includes a signed product of contracted pairs and a normal-ordered product of the remaining uncontracted operators.","71f8166f-5b60-4730-b47d-53ef7f73013a","1710.09248","arXiv","4.4","","A product of operators can be written as a sum of normally ordered products, where each term includes zero or more pairs of contracted operators; the contractions account for all possible pairings between operators in the product, with higher-order terms involving multiple disjoint pairs."
