"min_sim","sim_f2i","sim_i2f","is_blueprint_gold","informal_sid","informal_paper_title","informal_paper_external_id","informal_ref","informal_lean_annotation","informal_slogan","formal_sid","formal_decl_name","formal_module","formal_paper_title","formal_paper_external_id","formal_slogan"
"0.9882380003837885","0.9882380003837885","0.9882384538650513","True","81f6d543-ecd1-463f-9949-9edb2aae5182","Fermat's Last Theorem","ImperialCollegeLondon/FLT","5.33","Hurwitz.quot_rem","For any two Hurwitz quaternions a and b, where b is not zero, there are quaternions q and r such that a equals q times b plus r, and the norm of r is less than the norm of b.","e0de42df-ed6d-40c5-9a06-711036f8cf78","Hurwitz.quot_rem","FLT.Data.Hurwitz","FLT","FLT","For any two elements a and b in the Hurwitz quaternions, where b is not zero, there exist elements q and r such that a equals q times b plus r, and the norm of r is strictly less than the norm of b."
"0.97497978393764","0.97497978393764","0.9749799966812134","True","b3205137-2cfa-4977-86eb-fa3b3ea1aa99","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","12.14","multiDist_indep","If multiple random variables are independent, the multidistance measure equals the entropy of their sum minus the average of their individual entropies.","a9714080-8239-4f82-8d5d-a69e85118f9f","multiDist_indep","PFR.MoreRuzsaDist","pfr","pfr","If a list of random variables are independent, the multi-distance measure equals the entropy of their sum minus the average of their individual entropies."
"0.9733095860303742","0.9733095860303742","0.9733104705810547","True","f6dd0825-624c-4da7-9b3d-67d2fcaff7d2","Brownian motion project","RemyDegenne/brownian-motion","2.1.17","MeasureTheory.Submartingale.monotone_convex_comp","If X is a submartingale and phi is a convex, continuous, increasing function such that phi applied to each X_t is integrable, then the composition phi(X) is also a submartingale.","9f1c46bf-1e92-4a64-8962-5e429ec03dc0","MeasureTheory.Submartingale.monotone_convex_comp","BrownianMotion.Auxiliary.Martingale","brownian-motion","brownian-motion","If X is a submartingale and φ is a continuous, convex, and increasing function such that φ(X_t) is integrable for each time t, then the composition φ(X_t) is also a submartingale with respect to the same filtration."
"0.9632806598683258","0.9632806598683258","0.9632808566093445","True","1aa3400a-baa7-4481-8156-a9dffc6618c9","Brownian motion project","RemyDegenne/brownian-motion","2.2.52","MeasurableSet.nullMeasurableSet_fst","The projection of a measurable set in the product of two measurable spaces onto the first space is universally measurable, provided the second space is standard Borel.","3fe69b04-a0c3-4ebd-a240-1fdbedf520dc","MeasurableSet.nullMeasurableSet_fst","BrownianMotion.Choquet.Capacity","brownian-motion","brownian-motion","The projection of a measurable set in a product space onto the first component is universally measurable, meaning it is null-measurable with respect to any finite measure on the first space. This holds when the second space is a standard Borel space."
"0.9608438014984131","0.9608438415228038","0.9608438014984131","True","f754a74d-b3d6-4cb9-b64c-7d043e3074b5","Toric varieties","YaelDillies/toric","4.1.10","essImage_hopfSpec","The functor Spec maps Hopf algebras over a ring R to affine group schemes over the spectrum of R, and every affine group scheme over Spec R arises in this way up to isomorphism.","3166a4a0-ef09-47b7-ad1c-9c9ecfa8f155","essImage_hopfSpec","Toric.GroupScheme.HopfAffine","toric","toric","The functor Spec sends commutative Hopf algebras over a ring R to affine group schemes over the spectrum of R, and every affine group scheme over Spec R arises this way. A group scheme over Spec R is in the essential image of this functor if and only if it is affine."
"0.9570398763595191","0.9570398763595191","0.9570403099060059","True","e7075b31-20b4-4586-b8ae-9636ad5a27e3","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","3.11","ProbabilityTheory.IndepFun.rdist_eq","If two random variables X and Y are independent and take values in a group G, the Ruzsa distance between them is defined as the entropy of their difference minus half the entropy of X and half the entropy of Y.","2c2c8374-17b0-4288-bb2b-cb78dd3d1e78","ProbabilityTheory.IndepFun.rdist_eq","PFR.ForMathlib.Entropy.RuzsaDist","pfr","pfr","If two random variables X and Y with values in a countable abelian group G are independent, then the Ruzsa distance between them equals the entropy of their difference minus half the entropy of X and half the entropy of Y."
"0.9561738673600677","0.9561738673600677","0.9561742544174194","True","05714221-49bb-4172-a7d5-b2b4f638e246","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","3.5","ProbabilityTheory.max_entropy_le_entropy_add, ProbabilityTheory.max_entropy_le_entropy_sub","If two independent random variables take values in a group, then the entropy of their sum or difference is at least as large as the entropy of either variable alone.","25eec1bf-dd07-4e34-8713-a84892b52f4c","ProbabilityTheory.max_entropy_le_entropy_add","PFR.ForMathlib.Entropy.Group","pfr","pfr","If two independent random variables take values in a countable additive group, the entropy of their sum is at least as large as the maximum of their individual entropies."
"0.9552758851984899","0.9552758851984899","0.9552761912345886","True","4c9156fd-6567-46a0-993b-708ac0722d52","Toric varieties","YaelDillies/toric","5.1.1","AlgebraicGeometry.ToricVariety","A toric variety over a field k is a scheme X with an action by a torus T, where T is embedded as a dense open subset of X in a way that respects the group action. The torus acts on itself by multiplication, and this action extends to the whole space X. This structure links the geometry of X to the algebraic structure of the torus.","35d92dc2-7179-4c8d-aef4-14c6c9f71a37","AlgebraicGeometry.ToricVariety","Toric.ToricVariety.Defs","toric","toric","A toric variety over a field k is a scheme X that contains a torus T as a dense open subset, where the action of T on itself extends to an action on all of X. The torus T is a group scheme that becomes isomorphic to a product of multiplicative groups after base change to a separable closure of k. The structure involves a scheme X over the spectrum…"
"0.954575777053833","0.9545758596920864","0.954575777053833","False","5cd82bfa-19c8-44de-a7c3-b12cd300302d","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","3.26","condRuzsaDist_diff_ofsum_le","The difference in conditional Ruzsa distance between a variable X and the sum Y + Z, given the sum Y + Z + Z', compared to the distance between X and Y, is bounded above by half the sum of the entropies of Y + Z + Z' and Y + Z minus the entropies of Y and Z'. This result compares how adding independent random variables affects the distance measure…","d0cb974d-a24b-4517-b328-6f8c4a4cb8d5","condRuzsaDist_diff_le'","PFR.ForMathlib.Entropy.RuzsaDist","pfr","pfr","For random variables X, Y, and Z taking values in a countable abelian group with certain measurability conditions, where Y and Z are independent, the difference in conditional Ruzsa distances between X and the sum Y+Z versus X and Y alone is bounded above by half the Ruzsa distance between Y and Z plus a term involving the entropies of Y and Z. Sp…"
"0.9541763106507243","0.9541763106507243","0.9541765451431274","True","9d30b74d-11fd-4ba7-8dc6-982ee2785306","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","3.25","condRuzsaDist_diff_le, condRuzsaDist_diff_le', condRuzsaDist_diff_le'', condRuzsaDist_diff_le'''","For random variables X, Y, Z in an abelian group of characteristic 2, with Y and Z independent, the difference in Ruzsa distances involving X and the sum Y+Z is bounded above by an expression involving the entropies of Y and Z and their Ruzsa distance. Specifically, the increase in distance when replacing Y with Y+Z or conditioning on Y+Z is contr…","a3305571-5771-4fb6-bbae-0bb6ad37cc68","condRuzsaDist_diff_le","PFR.ForMathlib.Entropy.RuzsaDist","pfr","pfr","If X, Y, Z are random variables in an abelian group, with Y and Z independent, then the difference in Ruzsa distance between X and Y+Z versus X and Y is bounded by half the difference in entropy of Y+Z and Y, which can also be expressed in terms of the Ruzsa distance between Y and Z and the entropies of Y and Z."
