"min_sim","sim_f2i","sim_i2f","is_blueprint_gold","informal_sid","informal_paper_title","informal_paper_external_id","informal_ref","informal_lean_annotation","informal_slogan","formal_sid","formal_decl_name","formal_module","formal_paper_title","formal_paper_external_id","formal_slogan"
"0.954575777053833","0.9545758596920864","0.954575777053833","False","5cd82bfa-19c8-44de-a7c3-b12cd300302d","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","3.26","condRuzsaDist_diff_ofsum_le","The difference in conditional Ruzsa distance between a variable X and the sum Y + Z, given the sum Y + Z + Z', compared to the distance between X and Y, is bounded above by half the sum of the entropies of Y + Z + Z' and Y + Z minus the entropies of Y and Z'. This result compares how adding independent random variables affects the distance measure…","d0cb974d-a24b-4517-b328-6f8c4a4cb8d5","condRuzsaDist_diff_le'","PFR.ForMathlib.Entropy.RuzsaDist","pfr","pfr","For random variables X, Y, and Z taking values in a countable abelian group with certain measurability conditions, where Y and Z are independent, the difference in conditional Ruzsa distances between X and the sum Y+Z versus X and Y alone is bounded above by half the Ruzsa distance between Y and Z plus a term involving the entropies of Y and Z. Sp…"
"0.9338775039507287","0.9338775039507287","0.9338780641555786","False","c79eef94-3cf7-4431-8ca4-828983b44d13","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","13.26","rho_of_sum_le","If two independent random variables X and Y are added together, the rho value of their sum is at most half the sum of their individual rho values plus half their dependence measure d[X;Y].","47a6ae90-269f-42f2-9780-94c4c850bdb7","rho_of_sum","PFR.RhoFunctional","pfr","pfr","If two random variables X and Y are independent, the rho value of their sum is at most the rho value of X plus half the difference between the entropy of their sum and the entropy of X."
"0.9328888437610253","0.9328888437610253","0.9328894019126892","False","171654d5-a887-42a5-a7fb-6e7c6e8c55db","Brownian motion project","RemyDegenne/brownian-motion","1.5.59","ProbabilityTheory.lintegral_sup_rpow_edist_le_sum","For a stochastic process satisfying the Kolmogorov continuity condition with exponents p and q and constant M, the expected value of the supremum of the p-th power of distances between process values at points in a sequence of finite covers is bounded above by a constant multiple of the p-th power of a sum involving the sizes of the covers and the…","f9f21214-66ad-407f-845b-8ab001fa3dc7","ProbabilityTheory.lintegral_sup_rpow_edist_le_sum_of_le_one","BrownianMotion.Continuity.IsKolmogorovProcess","brownian-motion","brownian-motion","For a stochastic process satisfying a Kolmogorov-type condition with exponent q and constant M, the expected value of the supremum of the p-th power of distances between process values at points and their approximations through a chaining sequence is bounded above by a sum involving the sizes of finite covers and the radii of those covers raised t…"
"0.9308592276168346","0.9308592276168346","0.9308594465255737","False","148afe52-f769-46d6-8aa4-d008c269af17","Brownian motion project","RemyDegenne/brownian-motion","2.3.34","ProbabilityTheory.ClassDL","A stochastic process is of class DL if it is progressively measurable and, for every fixed time t, the collection of its values at all stopping times up to t forms a uniformly integrable set.","6fe24afc-b35d-41f1-bc3c-499d75445682","MeasureTheory.Integrable.classDL","BrownianMotion.StochasticIntegral.ClassD","brownian-motion","brownian-motion","If a stochastic process is progressively measurable and, for each time t, the supremum of the norm of the process up to t is integrable, then the process is of class DL, meaning its stopped values up to any time form a uniformly integrable family."
"0.9274787306785583","0.9274788891614915","0.9274787306785583","False","7b1668f3-2287-4e2e-b23b-4fb44b82e85e","Brownian motion project","RemyDegenne/brownian-motion","2.2.31","MeasurableSet.isPavingAnalytic_Icc_real","Every measurable subset of the real numbers is analytic with respect to the family of closed intervals on the real line. This means the collection of measurable sets is contained within the class of analytic sets generated by closed intervals.","252314e7-fe73-4c52-ace0-03c6772551da","MeasureTheory.IsPavingAnalytic_measurableSet_iff_isPavingAnalytic_Icc","BrownianMotion.Choquet.AnalyticSet","brownian-motion","brownian-motion","A set of real numbers is analytic with respect to the collection of all measurable sets if and only if it is analytic with respect to the collection of all closed intervals. This means that the property of being an analytic set does not change when you switch between using general measurable sets and just closed intervals in the definition. The eq…"
"0.922233521938324","0.922233662335073","0.922233521938324","False","a235f18a-d480-4ae8-ad2a-de088f381b35","Brownian motion project","RemyDegenne/brownian-motion","2.2.34","MeasureTheory.isPavingAnalytic_fst_of_image2_prod_measurableSet_Icc","If a set in the product of a measurable space and the real numbers is analytic with respect to the product of the measurable sets and intervals, then its projection onto the measurable space is also analytic.","b98d32cf-b2cf-41db-9bc9-ffba763980b7","MeasurableSet.isPavingAnalytic_fst","BrownianMotion.Choquet.AnalyticSet","brownian-motion","brownian-motion","If a set s in the product of a measurable space and the real numbers is measurable, then its projection onto the first component is analytic with respect to the paving of measurable sets."
"0.9143048767978764","0.9143048767978764","0.9143054485321045","False","12b1ba8c-2e0e-4bea-aa2c-e8a475c18095","Brownian motion project","RemyDegenne/brownian-motion","1.5.72","ProbabilityTheory.finite_set_bound_of_edist_le","If a stochastic process indexed by a finite set with bounded covering number satisfies a Kolmogorov-type continuity condition, then the expected maximum distance between process values at nearby points is controlled by a power of the distance threshold, with constants depending on the covering number, the process exponents, and the geometry of the…","c87925c6-0741-4003-bfb9-32c13ce48984","ProbabilityTheory.finite_set_bound_of_edist_le_of_le_diam'","BrownianMotion.Continuity.IsKolmogorovProcess","brownian-motion","brownian-motion","If a stochastic process satisfies a moment condition on its increments (Kolmogorov criterion) and the index set is finite with bounded covering numbers, then the expected maximum distance between process values is controlled by a constant depending on the covering parameters, the index set diameter, and the process regularity exponents."
"0.9139773883372659","0.9139773883372659","0.913977861404419","False","c50934c3-4629-45f9-8dfd-125a60cb48e4","Brownian motion project","RemyDegenne/brownian-motion","2.3.51","ProbabilityTheory.HasLocallyIntegrableSup.locally_classDL","A progressively measurable stochastic process with a locally integrable supremum is also locally of class DL.","c343b259-c334-4222-a5df-7e8ed83b3b0a","ProbabilityTheory.locally_classDL_iff_hasLocallyIntegrableSup","BrownianMotion.StochasticIntegral.ClassD","brownian-motion","brownian-motion","A stochastic process is locally of class DL (meaning its stopped versions are uniformly integrable over bounded times) if and only if it has a locally integrable supremum (meaning the maximum value it reaches up to any time is finite on average, when restricted to a suitable sequence of stopping times), provided the process is progressively measur…"
"0.9135159464287238","0.9135159464287238","0.9135161638259888","False","02dc9778-9a77-4a22-a8b1-883718cc7a23","Fermat's Last Theorem","ImperialCollegeLondon/FLT","9.16","IsDedekindDomain.FiniteAdeleRing.baseChangeContinuousAlgEquiv","The tensor product of L with the infinite adele ring of A over K is topologically isomorphic to the infinite adele ring of B over L. This means the algebraic and topological structures are preserved under base change. The isomorphism respects both the ring operations and the topology. It is built from local isomorphisms at each place.","d5bd7c4a-8002-4f10-8e59-4f1e319c95fe","NumberField.InfiniteAdeleRing.baseChangeEquiv","FLT.NumberField.InfiniteAdeleRing","FLT","FLT","There is a natural isomorphism of L-algebras between the tensor product of L with the infinite adele ring of K over K, and the infinite adele ring of L, induced by extending scalars via the base change map from K to L. This equivalence respects both the algebraic and topological structure. It is built using the action of embeddings of the fields i…"
"0.9022833108901978","0.9022833458364542","0.9022833108901978","False","5d54c00c-bb53-48a1-8cc6-b597cec67ae3","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","7.4","PFR_conjecture'","If a non-empty finite set A in an abelian group where every element has order two has a small sumset relative to its size, then A can be covered by a bounded number of shifts of a finite subgroup whose size is at most that of A. The number of shifts needed is at most 2 times K to the 12th power, where K measures the relative size of the sumset.","883434d0-184d-4322-92f2-3759d74b7a6d","PFR_conjecture","PFR.Main","pfr","pfr","If a nonempty set A in a finite abelian group where every element added to itself gives zero has at most K times as many elements in its sum set (A+A) as in A, then A can be covered by fewer than 2*K^12 cosets of some subgroup, and that subgroup has size at most the size of A."
