"sweep","statement_id","category","has_any_slogan","has_qwen_slogan","has_good_slogan","has_insufficient","has_target_embedding","has_any_embedding"
"f2i_gold","15ca1485-1046-436e-ae3b-ea8b03cc3d87","had_results","True","True","True","False","True","True"
"f2i_gold","27269213-f927-4245-9f2c-5c40afa2bd0c","had_results","True","True","True","False","True","True"
"f2i_gold","49f5e7cc-4e1d-4813-9646-dfc5be1185d4","had_results","True","True","True","False","True","True"
"f2i_gold","73d6b706-f1d0-42a4-ac79-d91c52533a45","had_results","True","True","True","False","True","True"
"f2i_gold","766668ec-1560-42a3-a5e3-0703abc88d70","had_results","True","True","True","False","True","True"
"f2i_gold","769a5088-9486-4b68-ba94-704416fb5313","had_results","True","True","True","False","True","True"
"f2i_gold","79d56663-4d5e-45da-98dc-1f7fe7f50401","had_results","True","True","True","False","True","True"
"f2i_gold","7fe04f87-d988-444a-aa4e-c20c745d90c4","had_results","True","True","True","False","True","True"
"f2i_gold","95404bea-a609-4ee7-8c95-edcf4d9cd74a","had_results","True","True","True","False","True","True"
"f2i_gold","b02ba1e5-62a9-43f8-99a4-695465064b2d","had_results","True","True","True","False","True","True"
"f2i_gold","bb402127-99da-40e6-95ab-d19d82eac48e","had_results","True","True","True","False","True","True"
"f2i_gold","c1e951db-c522-4700-a56e-90e4b95b0ac3","had_results","True","True","True","False","True","True"
"f2i_gold","eaaf1855-c668-4b81-8936-5c69a408484b","had_results","True","True","True","False","True","True"
"f2i_gold","ee43712f-c913-4842-825f-91ce312dedfc","had_results","True","True","True","False","True","True"
"f2i_gold","f4ea7e0b-5b15-4d4f-82f6-7e8d113ae604","had_results","True","True","True","False","True","True"
"f2i_nongold","035b1c54-a794-4e88-a4d0-c7ec1036f494","had_results","True","True","True","False","True","True"
"f2i_nongold","0403f8e8-ee77-4bf2-a808-eea0ec9a063b","had_results","True","True","True","False","True","True"
"f2i_nongold","07493f4d-3dca-49dc-8c68-d0c16fac945d","had_results","True","True","True","False","True","True"
"f2i_nongold","091e00bc-1c33-49ea-b4ec-784e5da4769c","had_results","True","True","True","False","True","True"
"f2i_nongold","108e4118-b789-415e-ac23-08f62514f23f","had_results","True","True","True","False","True","True"
"f2i_nongold","10cae64f-bcad-4fbe-aace-520c93313491","had_results","True","True","True","False","True","True"
"f2i_nongold","113b09cf-02d7-4155-9a81-437ca4da9084","had_results","True","True","True","False","True","True"
"f2i_nongold","11b0817f-39fb-42c2-947d-fb2b1d8846ae","had_results","True","True","True","False","True","True"
"f2i_nongold","17d9cbde-8f7c-4e74-ad66-84bc10711ef2","had_results","True","True","True","False","True","True"
"f2i_nongold","23fb2864-0485-4b83-8aa1-46a2ded0389c","had_results","True","True","True","False","True","True"
"f2i_nongold","248f0c68-a6f7-45dc-ba9e-7f60c70276d1","had_results","True","True","True","False","True","True"
"f2i_nongold","264bc34e-5902-4e08-a741-70483abb2fad","had_results","True","True","True","False","True","True"
"f2i_nongold","28a5badf-d1a6-4d3b-b14d-64e0dc94e797","had_results","True","True","True","False","True","True"
"f2i_nongold","28e61e7f-5152-47c1-81a5-65f6d27d1208","had_results","True","True","True","False","True","True"
"f2i_nongold","29d1070f-378f-43f5-acb2-656b139c2b43","had_results","True","True","True","False","True","True"
"f2i_nongold","2fbf42c6-dbc0-4efd-bb44-8f103eb5f1a3","had_results","True","True","True","False","True","True"
"f2i_nongold","306b52d3-4756-4e01-ae30-20db39810b95","had_results","True","True","True","False","True","True"
"f2i_nongold","308db4f8-0024-4b6f-946b-2c1485dbc5e8","had_results","True","True","True","False","True","True"
"f2i_nongold","32ef6139-e31b-432e-af47-2dd46d6862cd","had_results","True","True","True","False","True","True"
"f2i_nongold","354930c4-3bf1-4b89-a05f-9e39c38c29f4","had_results","True","True","True","False","True","True"
"f2i_nongold","36a0aa4a-e21b-4a15-8cd8-10aae4847dc6","had_results","True","True","True","False","True","True"
"f2i_nongold","37ec8ea2-5bd3-49a8-b32d-ba5d7c3d073f","had_results","True","True","True","False","True","True"
"f2i_nongold","3c246bfa-3f63-4a33-935a-206562be4230","had_results","True","True","True","False","True","True"
"f2i_nongold","3d1259f6-d5a0-494b-bec8-d8c343b758c9","had_results","True","True","True","False","True","True"
"f2i_nongold","3d88e55b-743d-43b8-a0fe-7b383b43b11e","had_results","True","True","True","False","True","True"
"f2i_nongold","3dd8a310-63ac-41cd-9f5b-84f432c37c7e","had_results","True","True","True","False","True","True"
"f2i_nongold","3ec896c3-e462-4377-a58d-7959b8d2f847","had_results","True","True","True","False","True","True"
"f2i_nongold","42affe97-ca58-4b1e-b76e-01dcfa9b22af","had_results","True","True","True","False","True","True"
"f2i_nongold","46f6d629-e8a4-4cba-b588-d0b6cbc93dfa","had_results","True","True","True","False","True","True"
"f2i_nongold","4807d4f1-d526-4e9f-80f3-7c6aecf68ed8","had_results","True","True","True","False","True","True"
"f2i_nongold","4963669d-e591-4913-9f45-fa2c250296c5","had_results","True","True","True","False","True","True"
"f2i_nongold","4b2ac74c-55c1-40c3-8285-c26d558f6ec9","had_results","True","True","True","False","True","True"
"f2i_nongold","4e27bd52-a2cd-472e-90ac-cf1f3f34f7f7","had_results","True","True","True","False","True","True"
"f2i_nongold","4fe1324e-a311-4233-a65b-962470ee2612","had_results","True","True","True","False","True","True"
"f2i_nongold","524e3bcc-397c-4b15-92c0-2a47b419a601","had_results","True","True","True","False","True","True"
"f2i_nongold","53a70cf2-7c78-49be-ac58-da080358b052","had_results","True","True","True","False","True","True"
"f2i_nongold","56c1dc22-a2fd-4248-870c-276805bfa182","had_results","True","True","True","False","True","True"
"f2i_nongold","57fb3e49-c1b2-4adc-83e0-0305a353b9e9","had_results","True","True","True","False","True","True"
"f2i_nongold","582a0a70-ba95-4ed2-83b0-0665d1575998","had_results","True","True","True","False","True","True"
"f2i_nongold","5855d0d1-44df-404d-9794-34cda5a4c3eb","had_results","True","True","True","False","True","True"
"f2i_nongold","58fadaa0-3dd0-47c0-86da-b13359c68e04","had_results","True","True","True","False","True","True"
"f2i_nongold","5a68a4e5-45f1-457d-842d-5287ac5f9334","had_results","True","True","True","False","True","True"
"f2i_nongold","5d681847-a292-47d8-b45c-014a2f9031a4","had_results","True","True","True","False","True","True"
"f2i_nongold","5de4ed6b-5364-4ab1-bee8-877b91f04169","had_results","True","True","True","False","True","True"
"f2i_nongold","5ed93f89-a7c5-4e48-9dbb-2c3bfc1aef60","had_results","True","True","True","False","True","True"
"f2i_nongold","5fdd9210-f412-4efc-b562-719f75c59bae","had_results","True","True","True","False","True","True"
"f2i_nongold","6215acc5-ca3c-4d6f-a322-02d74a61b97d","had_results","True","True","True","False","True","True"
"f2i_nongold","65d00b66-18d8-4430-bd4f-21978d488780","had_results","True","True","True","False","True","True"
"f2i_nongold","6a1e51cd-1da9-4e03-923e-a1f3ecef44c6","had_results","True","True","True","False","True","True"
"f2i_nongold","6f4eba5b-2192-4053-acdd-e0195e95ac21","had_results","True","True","True","False","True","True"
"f2i_nongold","72c0cd6e-d753-4857-9e07-b48e6fdd47c0","had_results","True","True","True","False","True","True"
"f2i_nongold","75b0592d-447f-41c8-a8d5-4995a015ad19","had_results","True","True","True","False","True","True"
"f2i_nongold","76e032e1-1bdb-4024-a72b-8bdd619cb243","had_results","True","True","True","False","True","True"
"f2i_nongold","78121dc0-34d2-4b30-b616-99cce6354631","had_results","True","True","True","False","True","True"
"f2i_nongold","7b72a86f-13c6-4d60-b7e2-8206f45a282e","had_results","True","True","True","False","True","True"
"f2i_nongold","7b86a1e4-92d8-4e0a-9cf4-734d51de64a2","had_results","True","True","True","False","True","True"
"f2i_nongold","7b9d7e92-b6bb-4430-bd1d-9dd2f92230a3","had_results","True","True","True","False","True","True"
"f2i_nongold","7c5b4fe5-9481-4802-a0e1-1e64034ecd4f","had_results","True","True","True","False","True","True"
"f2i_nongold","7cbcbdc2-384d-4710-b02e-41d43201947a","had_results","True","True","True","False","True","True"
"f2i_nongold","7dc0d4c5-b05d-4a9b-8602-c6ae930cedf9","had_results","True","True","True","False","True","True"
"f2i_nongold","807e14e6-1a37-45c6-859a-b14966871350","had_results","True","True","True","False","True","True"
"f2i_nongold","824e0681-3161-4cef-bac4-4a35691d52e3","had_results","True","True","True","False","True","True"
"f2i_nongold","82f12b80-4002-45ae-8ea0-4de9c70bbbe8","had_results","True","True","True","False","True","True"
"f2i_nongold","84148072-3f53-4a34-824e-5048b6c6d80c","had_results","True","True","True","False","True","True"
"f2i_nongold","868f36a6-c81f-4e50-9a28-116820ecb855","had_results","True","True","True","False","True","True"
"f2i_nongold","86b683f9-6c6d-4443-b69b-83f7e2059acb","had_results","True","True","True","False","True","True"
"f2i_nongold","871171e1-0d67-4f93-907c-b8b73e4540a4","had_results","True","True","True","False","True","True"
"f2i_nongold","8b5c6fe2-ba02-4824-9adc-7592df1a4b4d","had_results","True","True","True","False","True","True"
"f2i_nongold","8bdbd2b7-9a27-4afe-ae57-41a08a4517f5","had_results","True","True","True","False","True","True"
"f2i_nongold","8db87a06-4b94-440f-953b-1197ee9425c5","had_results","True","True","True","False","True","True"
"f2i_nongold","8fad6ac5-2fee-4a50-a69c-26e855007731","had_results","True","True","True","False","True","True"
"f2i_nongold","918f0cb1-2ad9-471f-8085-efad56e0e770","had_results","True","True","True","False","True","True"
"f2i_nongold","9420f84f-3659-4f3c-8c0a-3b8d57e5f267","had_results","True","True","True","False","True","True"
"f2i_nongold","98996bb8-e41f-4201-9733-f1f071c23b04","had_results","True","True","True","False","True","True"
"f2i_nongold","98b53bc6-7c10-47d7-a935-3f1b04123724","had_results","True","True","True","False","True","True"
"f2i_nongold","9a4dd74b-bea6-4901-aefc-15be501f17d7","had_results","True","True","True","False","True","True"
"f2i_nongold","a00e5c22-2850-42f2-92de-b3997f73c469","had_results","True","True","True","False","True","True"
"f2i_nongold","a07d6ed4-3efe-4dac-8980-df2515906179","had_results","True","True","True","False","True","True"
"f2i_nongold","a3095b05-f091-49b0-87d4-dee570f3bb87","had_results","True","True","True","False","True","True"
"f2i_nongold","a5980ca3-25ba-45bb-a51d-b178594792b5","had_results","True","True","True","False","True","True"
"f2i_nongold","a74b133b-4c0e-44fa-89e1-57bf6f1d5b95","had_results","True","True","True","False","True","True"
"f2i_nongold","a8abd7ee-d6f6-4865-8174-bfb01a207ecd","had_results","True","True","True","False","True","True"
"f2i_nongold","a98391bb-2fdc-4a72-b533-a1dd68d8bc9e","had_results","True","True","True","False","True","True"
"f2i_nongold","ab126821-6da9-492a-86d4-3a37486b206a","had_results","True","True","True","False","True","True"
"f2i_nongold","b2e277b3-e298-4df7-a6e0-32345b61aaac","had_results","True","True","True","False","True","True"
"f2i_nongold","bee3373a-9d16-4558-b83e-f6cacf5d1f04","had_results","True","True","True","False","True","True"
"f2i_nongold","bf47c742-c6fd-4864-84cf-b19158f9a061","had_results","True","True","True","False","True","True"
"f2i_nongold","bf7b5e51-8402-46ed-a2b9-722d73051789","had_results","True","True","True","False","True","True"
"f2i_nongold","c4b78340-deb2-4e5b-8ed5-ef06e0d5abf9","had_results","True","True","True","False","True","True"
"f2i_nongold","c722a3d2-d3bc-4f28-a4b2-f705890c1a8b","had_results","True","True","True","False","True","True"
"f2i_nongold","c9f07b5a-1742-441a-a933-7a150e577165","had_results","True","True","True","False","True","True"
"f2i_nongold","cb8506e9-cd33-42c8-ad15-f0ebb06011e4","had_results","True","True","True","False","True","True"
"f2i_nongold","ccf1f8b1-7c40-4fc3-9ead-e91469ec29bc","had_results","True","True","True","False","True","True"
"f2i_nongold","ce3e3a98-9ea8-49bf-abf8-da1b03a6061b","had_results","True","True","True","False","True","True"
"f2i_nongold","d275d7f7-1ad9-48b6-b257-5bcb784c784c","had_results","True","True","True","False","True","True"
"f2i_nongold","d53dc09f-fb8c-42ae-858a-e35d8ce55c23","had_results","True","True","True","False","True","True"
"f2i_nongold","d9ae320d-31a6-4d40-8319-7318b1b3a2b2","had_results","True","True","True","False","True","True"
"f2i_nongold","dba45f41-01c0-45ee-ad5d-b05ac17d9b12","had_results","True","True","True","False","True","True"
"f2i_nongold","de7442fa-09e1-47e7-8eb8-f83b24434fbc","had_results","True","True","True","False","True","True"
"f2i_nongold","e0fd20a7-c0dc-48a6-8500-5d4d6fb45e71","had_results","True","True","True","False","True","True"
"f2i_nongold","e159ce8c-62e1-496b-afe2-003b79c1d939","had_results","True","True","True","False","True","True"
"f2i_nongold","e23da442-c802-4802-b0b3-8d55b207d308","had_results","True","True","True","False","True","True"
"f2i_nongold","e48d7828-38fe-49b7-bc20-a3ca33b5c776","had_results","True","True","True","False","True","True"
"f2i_nongold","e6b6a716-7bbc-44b6-aba1-7be12340a81b","had_results","True","True","True","False","True","True"
